"#XSEC","in","mb"
1000,100,7.43E-010
1000,150,7.25E-010
1000,300,6.39E-010
1000,500,4.69E-010
1000,700,2.45E-010
1000,800,1.31E-010
1000,900,4.10E-011
1100,200,4.40E-010
1100,400,3.69E-010
1100,600,2.62E-010
1100,800,1.31E-010
1100,1000,2.15E-011
1200,100,2.97E-010
1200,200,2.79E-010
1200,300,2.64E-010
1200,500,2.14E-010
1200,700,1.46E-010
1200,900,7.21E-011
1200,1100,1.16E-011
1300,200,1.83E-010
1300,400,1.60E-010
1300,600,1.26E-010
1300,800,8.51E-011
1300,1000,4.02E-011
1300,1200,6.42E-012
1400,100,1.25E-010
1400,300,1.14E-010
1400,400,1.06E-010
1400,500,9.70E-011
1400,600,8.70E-011
1400,900,5.04E-011
1400,1100,2.27E-011
1400,1300,3.67E-012
1500,200,7.91E-011
1500,250,7.75E-011
1500,400,7.10E-011
1500,450,6.82E-011
1500,500,6.61E-011
1500,600,6.01E-011
1500,800,4.60E-011
1500,900,3.78E-011
1500,1000,2.98E-011
1500,1200,1.35E-011
1500,1400,2.14E-012
