channel   DY   data/DY   leadLeptPtCut   subleadLeptPtCut   leadJetPtCut   subleadJetPtCut
EE	AMC	0.793421	33	20	-10	-10
EE	POWHEG	0.789149	33	20	-10	-10
EE	MADHT	0.795009	33	20	-10	-10
 
MuMu	AMC	0.997054	33	20	-10	-10
MuMu	POWHEG	0.978798	33	20	-10	-10
MuMu	MADHT	0.98322	33	20	-10	-10
 
EE	AMC	0.799514	33	25	-10	-10
EE	POWHEG	0.794511	33	25	-10	-10
EE	MADHT	0.797493	33	25	-10	-10
 
MuMu	AMC	0.999071	33	25	-10	-10
MuMu	POWHEG	0.979752	33	25	-10	-10
MuMu	MADHT	0.981061	33	25	-10	-10
 
EE	AMC	0.812946	33	29	-10	-10
EE	POWHEG	0.804997	33	29	-10	-10
EE	MADHT	0.807523	33	29	-10	-10
 
MuMu	AMC	1.00122	33	29	-10	-10
MuMu	POWHEG	0.980435	33	29	-10	-10
MuMu	MADHT	0.978155	33	29	-10	-10
 
EE	AMC	0.803902	35	25	-10	-10
EE	POWHEG	0.798819	35	25	-10	-10
EE	MADHT	0.802434	35	25	-10	-10
 
MuMu	AMC	0.997809	35	25	-10	-10
MuMu	POWHEG	0.980085	35	25	-10	-10
MuMu	MADHT	0.981918	35	25	-10	-10
 
EE	AMC	0.815913	35	29	-10	-10
EE	POWHEG	0.808066	35	29	-10	-10
EE	MADHT	0.81069	35	29	-10	-10
 
MuMu	AMC	1.0003	35	29	-10	-10
MuMu	POWHEG	0.980754	35	29	-10	-10
MuMu	MADHT	0.978996	35	29	-10	-10
 
EE	AMC	0.824207	35	31	-10	-10
EE	POWHEG	0.814837	35	31	-10	-10
EE	MADHT	0.817314	35	31	-10	-10
 
MuMu	AMC	1.00376	35	31	-10	-10
MuMu	POWHEG	0.982888	35	31	-10	-10
MuMu	MADHT	0.97928	35	31	-10	-10
 
EE	AMC	0.81743	37	29	-10	-10
EE	POWHEG	0.810279	37	29	-10	-10
EE	MADHT	0.81414	37	29	-10	-10
 
MuMu	AMC	0.999517	37	29	-10	-10
MuMu	POWHEG	0.981065	37	29	-10	-10
MuMu	MADHT	0.979294	37	29	-10	-10
 
EE	AMC	0.832332	37	33	-10	-10
EE	POWHEG	0.820834	37	33	-10	-10
EE	MADHT	0.823388	37	33	-10	-10
 
MuMu	AMC	1.00613	37	33	-10	-10
MuMu	POWHEG	0.985507	37	33	-10	-10
MuMu	MADHT	0.979801	37	33	-10	-10
 
EE	AMC	0.831929	40	33	-10	-10
EE	POWHEG	0.822706	40	33	-10	-10
EE	MADHT	0.82629	40	33	-10	-10
 
MuMu	AMC	1.00404	40	33	-10	-10
MuMu	POWHEG	0.98716	40	33	-10	-10
MuMu	MADHT	0.980794	40	33	-10	-10
 
EE	AMC	0.836332	40	35	-10	-10
EE	POWHEG	0.825885	40	35	-10	-10
EE	MADHT	0.827942	40	35	-10	-10
 
MuMu	AMC	1.00784	40	35	-10	-10
MuMu	POWHEG	0.988999	40	35	-10	-10
MuMu	MADHT	0.980839	40	35	-10	-10
 
EE	AMC	0.794829	33	20	10	10
EE	POWHEG	0.827444	33	20	10	10
EE	MADHT	0.831857	33	20	10	10
 
MuMu	AMC	1.02039	33	20	10	10
MuMu	POWHEG	1.04097	33	20	10	10
MuMu	MADHT	1.04263	33	20	10	10
 
EE	AMC	0.802791	33	25	10	10
EE	POWHEG	0.835084	33	25	10	10
EE	MADHT	0.834192	33	25	10	10
 
MuMu	AMC	1.02302	33	25	10	10
MuMu	POWHEG	1.04247	33	25	10	10
MuMu	MADHT	1.0405	33	25	10	10
 
EE	AMC	0.819613	33	29	10	10
EE	POWHEG	0.84853	33	29	10	10
EE	MADHT	0.845916	33	29	10	10
 
MuMu	AMC	1.02622	33	29	10	10
MuMu	POWHEG	1.04331	33	29	10	10
MuMu	MADHT	1.03738	33	29	10	10
 
EE	AMC	0.806133	35	25	10	10
EE	POWHEG	0.838042	35	25	10	10
EE	MADHT	0.83819	35	25	10	10
 
MuMu	AMC	1.02206	35	25	10	10
MuMu	POWHEG	1.04317	35	25	10	10
MuMu	MADHT	1.04178	35	25	10	10
 
EE	AMC	0.821904	35	29	10	10
EE	POWHEG	0.850803	35	29	10	10
EE	MADHT	0.848745	35	29	10	10
 
MuMu	AMC	1.02571	35	29	10	10
MuMu	POWHEG	1.04454	35	29	10	10
MuMu	MADHT	1.03861	35	29	10	10
 
EE	AMC	0.831622	35	31	10	10
EE	POWHEG	0.859086	35	31	10	10
EE	MADHT	0.857244	35	31	10	10
 
MuMu	AMC	1.03041	35	31	10	10
MuMu	POWHEG	1.04857	35	31	10	10
MuMu	MADHT	1.03955	35	31	10	10
 
EE	AMC	0.823057	37	29	10	10
EE	POWHEG	0.853284	37	29	10	10
EE	MADHT	0.851565	37	29	10	10
 
MuMu	AMC	1.02576	37	29	10	10
MuMu	POWHEG	1.04553	37	29	10	10
MuMu	MADHT	1.04022	37	29	10	10
 
EE	AMC	0.840234	37	33	10	10
EE	POWHEG	0.86621	37	33	10	10
EE	MADHT	0.863899	37	33	10	10
 
MuMu	AMC	1.0345	37	33	10	10
MuMu	POWHEG	1.05287	37	33	10	10
MuMu	MADHT	1.04323	37	33	10	10
 
EE	AMC	0.840711	40	33	10	10
EE	POWHEG	0.868852	40	33	10	10
EE	MADHT	0.867931	40	33	10	10
 
MuMu	AMC	1.03281	40	33	10	10
MuMu	POWHEG	1.05467	40	33	10	10
MuMu	MADHT	1.04544	40	33	10	10
 
EE	AMC	0.843547	40	35	10	10
EE	POWHEG	0.871286	40	35	10	10
EE	MADHT	0.868109	40	35	10	10
 
MuMu	AMC	1.03752	40	35	10	10
MuMu	POWHEG	1.05627	40	35	10	10
MuMu	MADHT	1.04683	40	35	10	10
 
EE	AMC	0.79498	33	20	30	30
EE	POWHEG	1.20321	33	20	30	30
EE	MADHT	0.963937	33	20	30	30
 
