# Dataset miniTree_flavoursideband miniTree_lowdileptonsideband miniTree_signal_ee miniTree_signal_mumu miniTree_dytagandprobe 
DYJets_amctnlo 196 157499 5172 6964 9996946
DYJets_madgraph 35 27719 1177 1534 3041984
DYToEE_powheg_120to200 0 13139 48 0 32418
DYToEE_powheg_1400to2300 8 10 55947 0 50594
DYToEE_powheg_200to400 0 195 29142 0 34865
DYToEE_powheg_2300to3500 7 9 59250 0 47985
DYToEE_powheg_3500to4500 16 5 60767 0 44948
DYToEE_powheg_400to800 2 23 41592 0 48318
DYToEE_powheg_4500to6000 14 10 59381 0 41905
DYToEE_powheg_50to120 5 8942 3 0 1250963
DYToEE_powheg_6000toInf 14 3 50407 0 39798
DYToEE_powheg_800to1400 2 25 50731 0 51549
DYToEE_powheg 33 208811 22396 0 20598344
DYToMuMu_powheg_120to200 2 17536 0 137 74462
DYToMuMu_powheg_1400to2300 10 8 1 59718 95741
DYToMuMu_powheg_200to400 8 523 0 38538 87023
DYToMuMu_powheg_2300to3500 6 4 0 58958 95812
DYToMuMu_powheg_3500to4500 8 3 0 58218 95189
DYToMuMu_powheg_400to800 13 26 0 56216 94066
DYToMuMu_powheg_4500to6000 6 8 0 56450 94687
DYToMuMu_powheg_50to120 5 11683 0 2 1622657
DYToMuMu_powheg_6000toInf 17 12 2 51856 93227
DYToMuMu_powheg_800to1400 7 17 0 65799 96024
DoubleEG_RunC 19 175 NULL NULL 90806
DoubleEG_RunD_v3 851 9679 NULL NULL 5504110
DoubleEG_RunD_v4 1421 17102 NULL NULL 9760905
MuEG_RunC 32 22 NULL NULL 763
MuEG_RunD_v3 1379 1780 NULL NULL 39179
MuEG_RunD_v4 2312 3231 NULL NULL 75558
SingleMu_RunC 32 280 NULL NULL 207426
SingleMu_RunD_v3 1378 13866 NULL NULL 13580143
SingleMu_RunD_v4 3263 33437 NULL NULL 37768936
TTJets_DiLept_v1 76810 124443 23962 34419 1052805
TTJets_DiLept_v2 314268 510689 98172 140816 4312777
WJetsLNu 39 55 24 6 48505
WRtoEEJJ_1000_500 169 1386 23915 0 36423
WRtoEEJJ_1200_600 200 1057 24196 1 35740
WRtoEEJJ_1400_700 271 948 27127 18 39350
WRtoEEJJ_1600_800 322 740 27645 95 39386
WRtoEEJJ_1800_1400 398 630 28303 234 40001
WRtoEEJJ_2000_1000 471 476 28948 436 40608
WRtoEEJJ_2200_1100 485 423 29840 652 41542
WRtoEEJJ_2400_1200 507 332 30340 863 41968
WRtoEEJJ_2600_1300 569 323 30541 1056 42401
WRtoEEJJ_2800_1400 609 270 30929 1144 42678
WRtoEEJJ_3000_1500 609 204 31288 1423 42835
WRtoEEJJ_3200_1600 623 174 30053 1517 41301
WRtoEEJJ_3600_1800 683 122 31057 1768 42378
WRtoEEJJ_3800_1900 631 128 30684 1828 41974
WRtoEEJJ_4000_2000 655 116 31694 1960 43180
WRtoEEJJ_4200_2100 718 105 31841 2025 43416
WRtoEEJJ_4400_2200 675 81 31178 2079 42438
WRtoEEJJ_4600_2300 666 69 31817 2250 43088
WRtoEEJJ_4800_2400 725 57 32047 2277 43461
WRtoEEJJ_5000_2500 754 62 31732 2294 43141
WRtoEEJJ_5200_2600 705 55 31933 2358 43353
WRtoEEJJ_5600_2800 708 51 31187 2386 42310
WRtoEEJJ_5800_2900 734 54 31284 2347 42462
WRtoEEJJ_6000_3000 663 48 30105 2251 40737
WRtoEEJJ_800_400 122 1898 20628 0 33841
WRtoMuMuJJ_1000_500 14 1943 0 32748 42720
WRtoMuMuJJ_1200_600 23 1530 0 35159 43960
WRtoMuMuJJ_1400_700 30 1211 10 36707 44440
WRtoMuMuJJ_1600_800 22 962 91 38346 45618
WRtoMuMuJJ_1800_1400 32 774 151 39186 46066
WRtoMuMuJJ_2000_1000 30 638 315 38271 44438
WRtoMuMuJJ_2200_1100 49 529 441 40411 46701
WRtoMuMuJJ_2400_1200 40 433 607 40818 46957
WRtoMuMuJJ_2600_1300 48 370 775 41037 47051
WRtoMuMuJJ_2800_1400 51 308 865 39893 45618
WRtoMuMuJJ_3000_1500 66 271 1022 41461 47306
WRtoMuMuJJ_3200_1600 61 237 989 38649 43942
WRtoMuMuJJ_3600_1800 66 157 1224 40485 45872
WRtoMuMuJJ_3800_1900 65 139 1350 42034 47673
WRtoMuMuJJ_4000_2000 78 138 1342 39708 45036
WRtoMuMuJJ_4200_2100 73 117 1502 42112 47635
WRtoMuMuJJ_4400_2200 76 100 1484 42206 47785
WRtoMuMuJJ_4600_2300 92 98 1517 42036 47746
WRtoMuMuJJ_4800_2400 90 86 1482 42049 47765
WRtoMuMuJJ_5000_2500 81 75 1507 42051 47755
WRtoMuMuJJ_5200_2600 83 75 1504 42140 47833
WRtoMuMuJJ_5600_2800 94 60 1563 41245 46986
WRtoMuMuJJ_5800_2900 93 67 1579 41965 47768
WRtoMuMuJJ_6000_3000 114 60 1617 41676 47622
WRtoMuMuJJ_800_400 23 2320 0 26787 37714
WZ 356 3337 208 258 20602
ZZ 295 5644 232 332 32546
