#WR mass	Nu mass	efficiencyFraction
800	100	1.47
800	200	16.22
800	300	26.44
800	400	31.07
800	500	34.99
800	600	32.91
800	700	25.36
900	100	0.99
900	200	15.44
900	300	27.54
900	400	35.06
900	500	39.03
900	600	39.74
900	700	38.38
900	800	27.69
1000	100	0.7
1000	200	15.15
1000	300	27.32
1000	400	37.92
1000	500	41.9
1000	600	43.81
1000	700	44.55
1000	800	41.97
1000	900	32.25
1100	100	0.47
1100	200	13.59
1100	300	27.85
1100	400	38.44
1100	500	43.03
1100	600	47.27
1100	700	48.79
1100	800	49.17
1100	900	46
1100	1000	36.32
1200	100	0.45
1200	200	11.94
1200	300	28.38
1200	400	37.85
1200	500	45.59
1200	600	48.59
1200	700	51.63
1200	800	51.4
1200	900	52.96
1200	1000	49.06
1200	1100	38.13
1300	100	0.46
1300	200	10.59
1300	300	26.65
1300	400	38.97
1300	500	45.82
1300	600	50.51
1300	700	53.42
1300	800	55.32
1300	900	55.38
1300	1000	54.83
1300	1100	51.68
1300	1200	40.87
1400	100	0.28
1400	200	8.88
1400	300	26.45
1400	400	37.97
1400	500	45.53
1400	600	51.82
1400	700	54.47
1400	800	56.28
1400	900	57.72
1400	1000	57.61
1400	1100	55.52
1400	1200	53.76
1400	1300	43.88
1500	100	0.21
1500	200	7.62
1500	300	24.7
1500	400	37.47
1500	500	46.19
1500	600	51.31
1500	700	54.95
1500	800	57.19
1500	900	58.52
1500	1000	59.8
1500	1100	59.58
1500	1200	57.82
1500	1300	55.8
1500	1400	45.08
1600	100	0.21
1600	200	6.6
1600	300	22.57
1600	400	36.1
1600	500	45.36
1600	600	51.18
1600	700	56.06
1600	800	58.81
1600	900	59.91
1600	1000	61.63
1600	1100	61.59
1600	1200	60.09
1600	1300	59.98
1600	1400	58.19
1600	1500	46.21
1700	100	0.12
1700	200	5.8
1700	300	20.51
1700	400	35.1
1700	500	45.6
1700	600	51.94
1700	700	55.53
1700	800	59.43
1700	900	60.39
1700	1000	62.84
1700	1100	62.99
1700	1200	63.41
1700	1300	62.52
1700	1400	62.16
1700	1500	59.69
1700	1600	47.04
1800	100	0.11
1800	200	5.13
1800	300	19.07
1800	400	33.54
1800	500	44.34
1800	600	52.3
1800	700	56.54
1800	800	58.66
1800	900	61.67
1800	1000	62.72
1800	1100	64.23
1800	1200	64.04
1800	1300	64.37
1800	1400	64.6
1800	1500	62.24
1800	1600	58.97
1800	1700	48.45
1900	100	0.12
1900	200	4.14
1900	300	17.48
1900	400	32.55
1900	500	43.8
1900	600	51.88
1900	700	55.69
1900	800	59.66
1900	900	62
1900	1000	63.82
1900	1100	64.87
1900	1200	66.06
1900	1300	66.46
1900	1400	65.96
1900	1500	64.27
1900	1600	64.16
1900	1700	59.87
1900	1800	50.36
2000	100	0.11
2000	200	4.06
2000	300	16.1
2000	400	31.05
2000	500	43.41
2000	600	50.36
2000	700	55.3
2000	800	59.72
2000	900	61.88
2000	1000	64.22
2000	1100	65.24
2000	1200	66.79
2000	1300	66.29
2000	1400	67
2000	1500	66.19
2000	1600	64.88
2000	1700	64.22
2000	1800	60.75
2000	1900	51.51
2100	100	0.09
2100	200	3.64
2100	300	14.16
2100	400	29.26
2100	500	42.1
2100	600	50.13
2100	700	55.97
2100	800	59.51
2100	900	61.74
2100	1000	64.5
2100	1100	66.55
2100	1200	65.67
2100	1300	67.17
2100	1400	66.56
2100	1500	67.67
2100	1600	67.06
2100	1700	66.41
2100	1800	64.4
2100	1900	62
2100	2000	50.92
2200	100	0.05
2200	200	2.96
2200	300	13.41
2200	400	27.58
2200	500	39.41
2200	600	48.64
2200	700	55.96
2200	800	60.18
2200	900	61.27
2200	1000	64.03
2200	1100	65.17
2200	1200	67.02
2200	1300	67.72
2200	1400	68.75
2200	1500	68.44
2200	1600	67.86
2200	1700	67.91
2200	1800	67.29
2200	1900	64.96
2200	2000	62.03
2200	2100	52.12
2300	100	0.02
2300	200	2.52
2300	300	12.27
2300	400	25.34
2300	500	39.53
2300	600	47.44
2300	700	53.99
2300	800	59.07
2300	900	62.11
2300	1000	64.04
2300	1100	66.66
2300	1200	68.44
2300	1300	68.63
2300	1400	68.97
2300	1500	69.3
2300	1600	69.79
2300	1700	69.02
2300	1800	68.61
2300	1900	68.29
2300	2000	67.18
2300	2100	62.83
2300	2200	53.31
2400	100	0.02
2400	200	2.2
2400	300	11.36
2400	400	23.63
2400	500	37.14
2400	600	45.59
2400	700	53.53
2400	800	58.42
2400	900	62.42
2400	1000	64.22
2400	1100	66.28
2400	1200	68.64
2400	1300	69.25
2400	1400	69.17
2400	1500	69.98
2400	1600	69.7
2400	1700	69.4
2400	1800	69.12
2400	1900	69.56
2400	2000	69.07
2400	2100	67.2
2400	2200	64.66
2400	2300	54.15
2500	100	0.05
2500	200	2.28
2500	300	10.02
2500	400	23.17
2500	500	34.76
2500	600	45.78
2500	700	53.01
2500	800	58.04
