#WR mass	Nu mass	efficiencyFraction
800	100	1.6
800	200	15.78
800	300	25.81
800	400	32.24
800	500	35.09
800	600	33.3
800	700	24.73
900	100	0.97
900	200	15.95
900	300	27.37
900	400	35.57
900	500	39.5
900	600	39.81
900	700	38.03
900	800	28.74
1000	100	0.77
1000	200	14.97
1000	300	28.88
1000	400	37.14
1000	500	40.75
1000	600	44.38
1000	700	44.97
1000	800	43.23
1000	900	32.24
1100	100	0.68
1100	200	14.1
1100	300	27.82
1100	400	38.22
1100	500	43.28
1100	600	47.41
1100	700	49.38
1100	800	48.49
1100	900	46.08
1100	1000	35.96
1200	100	0.44
1200	200	12.55
1200	300	28.78
1200	400	38.56
1200	500	44.29
1200	600	49.19
1200	700	51.03
1200	800	52.41
1200	900	51.02
1200	1000	49.02
1200	1100	38.58
1300	100	0.3
1300	200	10.71
1300	300	26.14
1300	400	39.41
1300	500	45.05
1300	600	50.87
1300	700	52.82
1300	800	54.03
1300	900	55.39
1300	1000	54.37
1300	1100	50.72
1300	1200	40.46
1400	100	0.19
1400	200	9.69
1400	300	25.4
1400	400	37.6
1400	500	45.82
1400	600	51.67
1400	700	54.52
1400	800	56.28
1400	900	57.57
1400	1000	56.79
1400	1100	57.35
1400	1200	53.49
1400	1300	42.95
1500	100	0.24
1500	200	8.21
1500	300	24.03
1500	400	37.21
1500	500	45.42
1500	600	51.64
1500	700	55.7
1500	800	57.84
1500	900	59.76
1500	1000	60.03
1500	1100	58.7
1500	1200	58.88
1500	1300	54.94
1500	1400	45.12
1600	100	0.23
1600	200	6.79
1600	300	23.3
1600	400	37.02
1600	500	45.55
1600	600	51.86
1600	700	56.52
1600	800	58.47
1600	900	60.14
1600	1000	62.61
1600	1100	61.85
1600	1200	61.71
1600	1300	60.54
1600	1400	56.55
1600	1500	47.16
1700	100	0.14
1700	200	5.93
1700	300	20.86
1700	400	35.61
1700	500	45.17
1700	600	51.71
1700	700	57.44
1700	800	58.33
1700	900	62.17
1700	1000	62.47
1700	1100	62.6
1700	1200	62.66
1700	1300	62.41
1700	1400	61.32
1700	1500	58.81
1700	1600	48.03
1800	100	0.22
1800	200	5.47
1800	300	19.52
1800	400	34.3
1800	500	44.84
1800	600	51.65
1800	700	56.16
1800	800	59.32
1800	900	61.79
1800	1000	63.55
1800	1100	64.92
1800	1200	64.04
1800	1300	64.8
1800	1400	64.86
1800	1500	62.57
1800	1600	59.97
1800	1700	50.23
1900	100	0.09
1900	200	4.45
1900	300	17.99
1900	400	32.85
1900	500	43.47
1900	600	50.95
1900	700	55.27
1900	800	59.39
1900	900	62.5
1900	1000	63.2
1900	1100	64.89
1900	1200	65.08
1900	1300	65.07
1900	1400	65.19
1900	1500	65.18
1900	1600	63.48
1900	1700	60.22
1900	1800	50.59
2000	100	0.09
2000	200	4.01
2000	300	16.72
2000	400	31.7
2000	500	43.16
