#mass  ee_sig     ee_TT     ee_DY    mumu_sig   mumu_TT   mumu_DY
0800   2732.4273  168.7708  71.0747  3948.5089  263.6615  112.6019
1000   1398.3226  143.4058  70.4174  2025.2612  224.0352  76.0315
1200   728.0639   96.6143   38.9998  1048.9297  150.9353  40.9149
1400   402.9524   52.7433   29.1921  574.0961   82.3981   15.3880
1600   223.1066   29.0756   15.4545  324.5387   45.4234   13.1835
1800   130.8540   23.7667   9.2094   184.8524   37.3091   12.3235
2000   77.9491    12.8699   5.4997   111.1692   23.1622   9.4911
2200   48.8228    8.1194    4.7450   68.1946    15.3319   7.7989
2400   29.9893    4.1114    4.0319   41.8188    10.7166   6.7825
2600   18.7799    3.7315    3.9761   26.3875    5.8294    5.6430
2800   12.3194    2.5127    3.8515   16.5668    4.9764    5.7040
3000   7.9905     2.5110    3.5111   10.6688    3.9230    3.4707
3200   5.0485     2.2076    2.2963   7.0239     3.9228    1.9392
3600   2.1689     0.8476    2.1930   3.0254     3.4488    2.0074
3800   1.4648     0.4186    1.6133   1.9938     3.1770    1.9683
4000   0.9659     0.4539    1.6611   1.3323     2.1705    1.9624
4200   0.6475     0.0115    0.0562   0.8649     0.7154    1.9625
4400   0.4215     0.0001    0.0139   0.5742     0.6538    1.9619
4600   0.2822     0.0001    0.0139   0.3793     0.6549    1.9622
4800   0.1889     0.0001    0.0090   0.2482     0.0001    1.7078
5000   0.1272     0.0001    0.0012   0.1671     0.0179    1.9942
5200   0.0830     0.0001    0.0001   0.1074     0.0001    1.6211
5600   0.0365     0.0001    0.0001   0.0458     0.0001    1.6170
5800   0.0244     0.0001    0.0001   0.0298     0.0001    1.6187
6000   0.0164     0.0001    0.0001   0.0193     0.0001    1.6209
