#CHANNEL  MASS  XS(fb)   SIG_NEVENTS  SIG_RATE  TT_RATE    DY_RATE  TT_SF   DY_SF   SIG_N  TT_N  DY_N  SIG_ALPHA   TT_ALPHA  DY_ALPHA
ee        0800  4261.0   2731.727     0.6411    168.2      65.69    1.0154  1.0109  3986   317   12    0.00016086  0.53097   5.3815
ee        1000  1692.0   1398.100     0.8263    142.9      64.95    1.0154  1.0109  5823   265   12    0.00014189  0.53903   5.4681
ee        1200  763.7    727.959      0.9532    96.11      30.87    1.0154  1.0109  6863   192   4     0.0001389   0.50032   8.1306
ee        1400  378.4    402.996      1.065     52.21      23.01    1.0154  1.0109  7903   98    4     0.00013473  0.53496   6.1822
ee        1600  202.5    223.155      1.102     28.63      8.64     1.0154  1.0109  8446   65    1     0.00013043  0.44136   6.814
ee        1800  113.6    130.867      1.152     23.34      0.0001   1.0154  1.0109  8807   54    0     0.00013078  0.43097   9.1672
ee        2000  65.63    77.968       1.188     12.44      0.0001   1.0154  1.0109  9204   29    0     0.00012902  0.42832   5.4967
ee        2200  39.24    48.815       1.244     7.684      0.0001   1.0154  1.0109  9621   18    0     0.00012931  0.43519   4.6842
ee        2400  23.96    29.998       1.252     3.685      0.0001   1.0154  1.0109  9868   9     0     0.00012683  0.42673   4.1316
ee        2600  14.9     18.774       1.26      3.309      0.0001   1.0154  1.0109  10033  8     0     0.00012561  0.42279   3.9799
ee        2800  9.439    12.318       1.305     2.094      0.0001   1.0154  1.0109  10156  5     0     0.0001285   0.4188    3.842
ee        3000  6.03     7.990        1.325     2.092      0.0001   1.0154  1.0109  10457  5     0     0.00012671  0.4185    3.5101
ee        3200  3.888    5.047        1.298     1.774      0.0001   1.0154  1.0109  9835   4     0     0.00013201  0.4336    2.3922
ee        3600  1.663    2.169        1.304     0.6042     0.0001   1.0154  1.0109  10047  2     0     0.0001298   0.24334   2.1921
ee        3800  1.1      1.464        1.331     0.0005387  0.0001   1.0154  1.0109  9784   0     0     0.00013609  0.41807   1.6714
ee        4000  0.7242   0.966        1.334     0.0001     0.0001   1.0154  1.0109  10476  0     0     0.0001273   0.45374   1.4582
ee        4200  0.4798   0.647        1.349     0.0001     0.0001   1.0154  1.0109  10505  0     0     0.00012845  0.41844   0.26872
ee        4400  0.3175   0.422        1.328     0.0001     0.0001   1.0154  1.0109  10151  0     0     0.00013077  0.41828   0.26314
ee        4600  0.2117   0.282        1.333     0.0001     0.0001   1.0154  1.0109  10388  0     0     0.0001283   0.41828   0.26314
ee        4800  0.1414   0.189        1.336     0.0001     0.0001   1.0154  1.0109  10543  0     0     0.0001267   0.41828   0.26322
ee        5000  0.09397  0.127        1.353     0.0001     0.0001   1.0154  1.0109  10259  0     0     0.00013191  0.41828   0.26314
ee        5200  0.06248  0.083        1.328     0.0001     0.0001   1.0154  1.0109  10310  0     0     0.00012878  0.41828   0.26314
ee        5600  0.02786  0.036        1.31      0.0001     0.0001   1.0154  1.0109  9784   0     0     0.00013391  0.41828   0.26314
ee        5800  0.01858  0.024        1.311     0.0001     0.0001   1.0154  1.0109  10157  0     0     0.00012909  0.41828   0.26314
ee        6000  0.01249  0.016        1.314     0.0001     0.0001   1.0154  1.0109  9509   0     0     0.00013818  0.41828   0.26314
mumu      0800  4263.0   3946.685     0.9258    262.8      108.2    1.0149  1.0106  1955   317   25    0.00047344  0.82951   4.3697
mumu      1000  1678.0   2023.668     1.206     223.2      69.54    1.0149  1.0106  2237   265   11    0.00053924  0.8421    6.4881
mumu      1200  760.8    1048.382     1.378     150.2      31.88    1.0149  1.0106  2424   192   4     0.00056854  0.78162   9.0323
mumu      1400  378.1    573.956      1.518     81.56      0.0001   1.0149  1.0106  2476   98    0     0.00061289  0.83574   15.727
mumu      1600  202.6    324.363      1.601     44.73      0.0001   1.0149  1.0106  2531   65    0     0.00063266  0.68955   13.694
mumu      1800  112.8    184.766      1.638     36.63      0.0001   1.0149  1.0106  2566   54    0     0.0006385   0.68205   12.385
mumu      2000  65.49    111.137      1.697     22.49      0.0001   1.0149  1.0106  2537   33    0     0.00066873  0.67342   9.4119
mumu      2200  39.21    68.186       1.739     14.63      0.0001   1.0149  1.0106  2595   21    0     0.00067007  0.70672   7.7288
mumu      2400  23.94    41.799       1.746     10.01      0.0001   1.0149  1.0106  2594   14    0     0.0006732   0.7098    7.0153
mumu      2600  14.89    26.370       1.771     5.169      0.0001   1.0149  1.0106  2582   8     0     0.00068616  0.66051   5.8845
mumu      2800  9.422    16.564       1.758     4.301      0.0001   1.0149  1.0106  2562   6     0     0.00068599  0.67548   5.409
mumu      3000  6.034    10.662       1.767     3.269      0.0001   1.0149  1.0106  2585   5     0     0.00068364  0.65383   3.5867
mumu      3200  3.904    7.019        1.798     3.269      0.0001   1.0149  1.0106  2542   5     0     0.00070752  0.6538    2.4121
mumu      3600  1.661    3.025        1.821     2.771      0.0001   1.0149  1.0106  2540   4     0     0.00071679  0.67739   2.3263
