28-Oct-2015 09:15:30 CDT  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODSignalSamples/WRToNuEToEEJJ_MW-1400_MNu-700-TuneCUETP8M1_pythia8_13TeV_1.root
28-Oct-2015 09:15:35 CDT  Successfully opened file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODSignalSamples/WRToNuEToEEJJ_MW-1400_MNu-700-TuneCUETP8M1_pythia8_13TeV_1.root
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 28-Oct-2015 09:15:46.280 CDT

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   14 |  0 26 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   36 |  0 22 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    -1 -       dbar | 21 |    0    0    4    4 |  1  1 |   0.000  23730.582  0.000 |      0.000      0.000    974.582    0.000 |
    3 |     2 -          u | 21 |    1    1    4    4 |  1  1 |   0.000 -23269.703  0.000 |      0.000      0.000   -513.703    0.000 |
    4 | 9900024 -       W_R+ | 22 |    2    3    5    5 |  2  1 |   0.000  23216.879  0.000 |      0.000      0.000    460.879 1415.126 |
    5 | 9900024 -       W_R+ | 62 |    4    4    6    7 |  1  2 |  77.218      2.845  0.907 |     47.569     60.826    661.641 1415.126 |
    6 |   -11 -         e+ |  1 |    5    5   -1   -1 |  1  0 | 502.700      0.329 -2.115 |   -260.290   -430.065    168.583    0.001 |
    7 | 9900012 -      nu_Re | 22 |    5    5    8   10 |  1  3 | 579.440      0.772  1.011 |    307.859    490.891    493.058  700.000 |
    8 |   -11 -         e+ |  1 |    7    7   -1   -1 |  1  0 | 152.403      1.440 -0.884 |     96.683   -117.810    303.489    0.001 |
    9 |     3 -          s | 23 |    7    7   28   30 |  1  8 | 488.668      0.278  1.078 |    231.014    430.614    137.606    0.500 |
   10 |    -4 -       cbar | 23 |    7    7   32   32 |  1  1 | 179.188      0.286  1.682 |    -19.838    178.086     51.962    1.500 |
   11 |     2 -          u | 72 |    1    1   40   35 |  1  6 |   4.807     -1.626  1.447 |      0.595      4.770    -11.742    0.330 |
   12 |    21 -          g | 72 |    1    1   40   35 |  1  6 |   6.013     -3.009  0.868 |      3.886      4.588    -60.767   -0.000 |
   13 |    21 -          g | 72 |    0    1   40   35 |  2  6 |   6.411     -3.022  1.873 |     -1.911      6.120    -65.637   -0.000 |
   14 |  2101 -       ud_0 | 72 |    0    0   40   35 |  1  6 |   1.255      8.299 -0.624 |      1.018     -0.733   2521.522    0.579 |
   15 |     3 -          s | 71 |    0    0   43   43 |  1  1 |   9.127      1.876 -2.520 |     -7.422     -5.312     29.094    0.500 |
   16 |    -2 -       ubar | 71 |    0    0   38   17 |  1  3 |   9.601      0.752 -2.619 |     -8.320     -4.791      7.916    0.330 |
   17 |  2212 -         p+ |  1 |    0   16   -1   -1 |  3  0 |   0.248      2.491 -1.916 |     -0.084     -0.233      1.487    0.938 |
   18 |     2 -          u | 71 |    0    1   24   27 |  2  4 |  17.012      0.683 -2.374 |    -12.237    -11.818     12.540    0.400 |
   19 |    21 -          g | 71 |    0    0   24   27 |  1  4 |   5.407     -0.232 -1.774 |     -1.089     -5.296     -1.265    0.148 |
   20 |    21 -          g | 71 |    0    0   24   27 |  1  4 |   6.937     -0.222 -2.099 |     -3.498     -5.990     -1.552   -0.000 |
   21 |    21 -          g | 71 |    0    0   24   27 |  1  4 |  11.661     -0.588 -1.965 |     -4.474    -10.769     -7.260    0.265 |
