20-Nov-2015 08:17:50 CST  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODBkgndFiles/DYJetsToLL_M_200to400_amcnlo_13TeV_25ns_reMiniAOD_26kevts.root
20-Nov-2015 08:17:52 CST  Successfully opened file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODBkgndFiles/DYJetsToLL_M_200to400_amcnlo_13TeV_25ns_reMiniAOD_26kevts.root
Begin processing the 1st record. Run 1, Event 40289, LumiSection 68 at 20-Nov-2015 08:17:52.993 CST

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   79 |  0 43 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   79 |  0 47 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    21 -          g | 21 |    0    0    4    8 |  1  5 |   0.000  23015.977  0.000 |      0.000      0.000    259.977    0.000 |
    3 |    21 -          g | 21 |    1    1    4    8 |  1  5 |   0.000 -23346.990  0.000 |      0.000      0.000   -590.990    0.000 |
    4 |   -11 -         e+ | 23 |    2    3   10   10 |  2  1 | 158.001     -0.902  0.504 |    138.390     76.238   -162.601    0.001 |
    5 |    11 -         e- | 23 |    2    3   11   11 |  2  1 | 149.902     -1.441 -2.640 |   -131.416    -72.113   -298.907    0.001 |
    6 |     4 -          c | 23 |    2    3   24   24 |  2  1 |  41.878     -1.235  0.432 |     38.024     17.548    -65.942    1.500 |
    7 |    -4 -       cbar | 23 |    2    3    9    9 |  2  1 |  42.694      2.164 -3.086 |    -42.629     -2.353    183.366    1.500 |
    8 |    21 -          g | 23 |    2    3   20   50 |  2  5 |  19.465      0.629 -1.693 |     -2.369    -19.321     13.071    0.000 |
    9 |    -4 -       cbar | 44 |    7    7   19   50 |  1  3 |  37.492      2.207 -2.780 |    -35.061    -13.281    168.313    1.500 |
   10 |   -11 -         e+ | 44 |    4    4   12   14 |  1  2 | 160.768     -0.880  0.471 |    143.277     72.924   -160.498    0.001 |
   11 |    11 -         e- | 52 |    5    5   13   15 |  1  2 | 145.260     -1.475 -2.596 |   -124.158    -75.401   -300.861    0.001 |
   12 |   -11 -         e+ |  1 |   10   10   -1   -1 |  1  0 | 107.182     -0.879  0.473 |     95.404     48.847   -106.762    0.001 |
   13 |    11 -         e- |  1 |   11   11   -1   -1 |  1  0 | 145.317     -1.476 -2.600 |   -124.519    -74.913   -301.377    0.001 |
   14 |    22 -      gamma |  1 |   10   10   -1   -1 |  1  0 |  53.341     -0.879  0.473 |     47.480     24.310    -53.132   -0.000 |
   15 |    22 -      gamma |  1 |   11   11   -1   -1 |  1  0 |   0.015     -1.476 -2.596 |     -0.013     -0.008     -0.032    0.000 |
   16 |    21 -          g | 73 |    0    1   55   55 |  2  1 |   5.429      0.135 -0.969 |      3.073     -4.476      0.737    0.346 |
   17 |    21 -          g | 73 |    1    1   37   37 |  1  1 |   5.045     -5.571  2.631 |     -4.402      2.466   -662.477    0.215 |
   18 |    21 -          g | 73 |    0    1   36   36 |  2  1 |   5.317     -3.215 -1.953 |     -1.981     -4.934    -66.123    0.476 |
   19 |    -4 -       cbar | 73 |    9    9   49   49 |  1  1 |  31.482      2.164 -2.784 |    -29.496    -11.005    135.246    1.742 |
   20 |    21 -          g | 73 |    1    8   46   46 |  2  1 |   5.760      1.477 -1.967 |     -2.223     -5.314     11.961    0.304 |
   21 |    21 -          g | 73 |    0    1   48   48 |  2  1 |   5.121      2.363 -2.346 |     -3.584     -3.658     26.950    0.464 |
