18-Nov-2015 04:44:23 CST  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODBkgndFiles/DYJetsToLL_M_50_madgraph_13TeV_25ns_reMiniAOD_50kevts.root
18-Nov-2015 04:44:25 CST  Successfully opened file file:/eos/uscms/store/user/skalafut/WR/13TeV/RunIISpring15_MiniAODBkgndFiles/DYJetsToLL_M_50_madgraph_13TeV_25ns_reMiniAOD_50kevts.root
Begin processing the 1st record. Run 1, Event 10356421, LumiSection 17913 at 18-Nov-2015 04:44:26.693 CST

THIS EVT HAS Z->tau tau + 2 gluons
[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   39 |  0  8 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   39 |  0 10 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    -4 -       cbar | 21 |    0    0    4    6 |  1  3 |   0.000  22909.256  0.000 |      0.000      0.000    153.256    0.000 |
    3 |     4 -          c | 21 |    1    1    4    6 |  1  3 |   0.000 -22939.445  0.000 |      0.000      0.000   -183.445    0.000 |
    4 |    23 -         Z0 | 22 |    2    3    7    7 |  2  1 |  31.686     -2.199 -1.432 |      4.394    -31.380   -141.091   80.119 |
    5 |    21 -          g | 23 |    2    3   20   29 |  2 10 |  24.656      2.428  1.336 |      5.739     23.978    138.705    0.000 |
    6 |    21 -          g | 23 |    2    3   30   33 |  2  4 |  12.548     -1.536  2.511 |    -10.133      7.402    -27.803    0.000 |
    7 |    23 -         Z0 | 44 |    4    4    8    8 |  1  1 |  47.186     -1.822 -1.297 |     12.760    -45.428   -142.146   80.119 |
    8 |    23 -         Z0 | 44 |    7    7    9    9 |  1  1 |  46.551     -1.822 -1.302 |     12.358    -44.880   -140.250   80.119 |
    9 |    23 -         Z0 | 44 |    8    8   10   10 |  1  1 |  46.305     -1.823 -1.304 |     12.219    -44.664   -139.606   80.119 |
   10 |    23 -         Z0 | 44 |    9    9   11   11 |  1  1 |  46.194     -1.826 -1.320 |     11.470    -44.747   -139.660   80.119 |
   11 |    23 -         Z0 | 44 |   10   10   12   12 |  1  1 |  46.928     -1.810 -1.317 |     11.767    -45.429   -139.551   80.119 |
   12 |    23 -         Z0 | 44 |   11   11   13   13 |  1  1 |  46.891     -1.810 -1.317 |     11.769    -45.390   -139.488   80.119 |
   13 |    23 -         Z0 | 62 |   12   12   14   15 |  1  2 |  47.015     -1.808 -1.316 |     11.843    -45.499   -139.491   80.119 |
   14 |   -15 -       tau+ |  2 |   13   13   43   45 |  1  3 |  54.307     -1.608 -1.791 |    -11.836    -53.001   -130.078    1.777 |
   15 |    15 -       tau- |  2 |   13   13   40   42 |  1  3 |  24.839     -0.370  0.307 |     23.679      7.502     -9.413    1.777 |
   16 |    -4 -       cbar | 71 |    1    1   17   17 |  1  1 |   1.088     -3.764  0.010 |      1.088      0.011    -23.438    1.500 |
   17 |  -411 -         D- |  2 |    1   16   -1   -1 |  2  0 |   1.582     -3.974  0.242 |      1.535      0.380    -42.047    1.870 |
   18 |     4 -          c | 71 |    0    0   19   36 |  1  2 |   7.237      1.373 -0.931 |      4.321     -5.805     13.369    1.500 |
   19 |   413 -        D*+ |  2 |    0   18   46   46 |  3  1 |   8.386      1.442 -0.945 |      4.913     -6.797     16.747    2.010 |
   20 |    21 -          g | 71 |    5    5   35   39 |  1  4 |   3.628      2.790  2.114 |     -1.875      3.106     29.430    0.243 |
   21 |    21 -          g | 71 |    5    5   35   39 |  1  4 |   5.635      2.685  1.882 |     -1.723      5.365     41.123   -0.000 |
   22 |    21 -          g | 71 |    5    5   35   39 |  1  4 |   1.687      2.285  2.200 |     -0.992      1.364      8.197   -0.000 |
   23 |    21 -          g | 71 |    5    5   35   39 |  1  4 |   3.003      1.849  1.916 |     -1.016      2.826      9.299   -0.000 |
   24 |    21 -          g | 71 |    5    5   35   39 |  1  4 |   4.400      1.976  1.105 |      1.978      3.930     15.570    0.448 |
   25 |    21 -          g | 71 |    5    5   35   39 |  1  4 |  14.934      1.378  1.482 |      1.323     14.875     27.729   -0.000 |
   26 |    21 -          g | 71 |    5    5   35   39 |  1  4 |   0.695      1.893  1.209 |      0.246      0.650      2.254   -0.000 |
   27 |    21 -          g | 71 |    5    5   35   39 |  1  4 |   0.798      0.392  0.824 |      0.542      0.586      0.321   -0.000 |
   28 |    21 -          g | 71 |    5    5   35   39 |  1  4 |   0.628     -1.049  1.308 |      0.163      0.606     -0.786    0.000 |
   29 |    21 -          g | 71 |    5    5   35   39 |  1  4 |   0.680     -1.717 -1.148 |      0.279     -0.620     -1.831    0.000 |
   30 |    21 -          g | 71 |    6    6   35   39 |  1  4 |   0.820     -1.489  3.005 |     -0.812      0.111     -1.724    0.000 |
   31 |    21 -          g | 71 |    6    6   35   39 |  1  4 |   3.998     -1.334  2.273 |     -2.582      3.053     -7.066    0.000 |
   32 |    21 -          g | 71 |    6    6   35   39 |  1  4 |   1.446     -2.036  2.859 |     -1.389      0.403     -5.440    0.000 |
   33 |    21 -          g | 71 |    6    6   35   39 |  1  4 |   4.450     -2.044  2.542 |     -3.674      2.510    -16.883    0.000 |
   34 |    21 -          g | 71 |    1    1   35   39 |  1  4 |  12.118     -1.579  2.043 |     -5.509     10.794    -28.147    0.000 |
