04-Jul-2016 14:31:59 CEST  Initiating request to open file file:/afs/cern.ch/work/s/skalafut/public/WR_starting2015/miniAOD/WR_signal_MC/WRToNuEToEEJJ_MW-6000_MNu-3000_TuneCUETP8M1_pythia8_13TeV.root
04-Jul-2016 14:32:02 CEST  Successfully opened file file:/afs/cern.ch/work/s/skalafut/public/WR_starting2015/miniAOD/WR_signal_MC/WRToNuEToEEJJ_MW-6000_MNu-3000_TuneCUETP8M1_pythia8_13TeV.root
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 04-Jul-2016 14:32:04.399 CEST

[ParticleListDrawer] analysing particle collection prunedGenParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1    2   45 |  0 14 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1    3   67 |  0  5 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    -1 -       dbar | 21 |    0    0    4    4 |  1  1 |   0.000  26148.549  0.000 |      0.000      0.000   3392.549    0.000 |
    3 |     2 -          u | 21 |    1    1    4    4 |  1  1 |   0.000 -25425.354  0.000 |      0.000      0.000  -2669.354    0.000 |
    4 | 9900024 -       W_R+ | 22 |    2    3    5    5 |  2  1 |   0.000  23479.195  0.000 |      0.000      0.000    723.195 6018.608 |
    5 | 9900024 -       W_R+ | 62 |    4    4    6    7 |  1  2 | 148.600      2.019  0.884 |     94.265    114.874    549.471 6018.608 |
    6 |   -11 -         e+ | 23 |    5    5    8    9 |  1  2 | 1295.567      1.250  2.261 |   -825.158    998.804   2075.050    0.001 |
    7 | 9900012 -      nu_Re | 22 |    5    5   10   10 |  1  1 | 1275.410     -1.014 -0.766 |    919.423   -883.930  -1525.579 3000.001 |
    8 |   -11 -         e+ |  1 |    6    6   -1   -1 |  1  0 | 1295.564      1.250  2.261 |   -825.154    998.803   2075.042    0.001 |
    9 |    22 -      gamma |  1 |    6    6   -1   -1 |  1  0 |   0.004      1.366  2.945 |     -0.004      0.001      0.008    0.000 |
   10 | 9900012 -      nu_Re | 52 |    7    7   11   13 |  1  3 | 1275.410     -1.014 -0.766 |    919.423   -883.930  -1525.578 3000.001 |
   11 |   -11 -         e+ |  1 |   10   10   -1   -1 |  1  0 | 911.604     -1.497 -0.994 |    496.789   -764.344  -1935.184    0.001 |
   12 |     5 -          b | 23 |   10   10   15   15 |  1  1 | 412.035     -0.380  2.374 |   -296.422    286.193   -160.516    4.800 |
   13 |    -6 -       tbar | 22 |   10   10   14   72 |  1 17 | 825.651      0.645 -0.514 |    719.057   -405.778    570.121  170.845 |
   14 |    -6 -       tbar | 51 |   13   13   16   16 |  1  1 | 285.800      1.428 -0.368 |    266.695   -102.741    561.881  170.845 |
   15 |     5 -          b | 52 |   12   12   24   42 |  1 10 | 324.151     -0.380  2.374 |   -233.197    225.152   -126.277    4.800 |
   16 |    -6 -       tbar | 52 |   14   14   17   17 |  1  1 | 285.774      1.428 -0.368 |    266.669   -102.733    561.812  170.845 |
   17 |    -6 -       tbar | 52 |   16   16   18   18 |  1  1 | 285.475      1.428 -0.368 |    266.383   -102.647    561.032  170.845 |
   18 |    -6 -       tbar | 52 |   17   17   19   20 |  1  2 | 283.821      1.427 -0.368 |    264.860   -101.999    557.338  170.845 |
   19 |   -24 -         W- | 22 |   18   18   21   21 |  1  1 | 199.883      1.089 -0.541 |    171.378   -102.873    263.216   78.483 |
   20 |    -5 -       bbar | 23 |   18   18   61   60 |  1  8 |  93.486      1.864  0.009 |     93.482      0.874    294.122    4.800 |
   21 |   -24 -         W- | 52 |   19   19   22   23 |  1  2 | 189.957      1.110 -0.532 |    163.749    -96.281    256.816   78.483 |
   22 |     3 -          s | 23 |   21   21   32   34 |  1  5 | 180.182      1.147 -0.459 |    161.516    -79.864    254.949    0.500 |
   23 |    -4 -       cbar | 23 |   21   21   36   36 |  1  1 |  16.568      0.112 -1.436 |      2.233    -16.417      1.867    1.500 |
   24 |     5 -          b | 71 |   15   15   26   26 |  1  1 | 208.073     -0.326  2.553 |   -173.085    115.481    -68.974    4.800 |
   25 |    -2 -       ubar | 71 |   15   15   26   26 |  1  1 |  16.067     -0.477  2.411 |    -11.963     10.726     -7.965    0.330 |
   26 |  -521 -         B- |  2 |   24   25   74   76 |  2  3 | 173.639     -0.328  2.552 |   -144.300     96.582    -57.974    5.279 |
   27 |     3 -          s | 71 |    0    0   68   68 |  1  1 |  32.284      1.058 -2.652 |    -28.492    -15.181     40.901    0.500 |
   28 |    21 -          g | 71 |    0    0   68   68 |  1  1 |  17.287      0.351 -2.080 |     -8.430    -15.092      6.192    0.399 |
   29 |    21 -          g | 71 |    0    0   68   68 |  1  1 |  12.187      0.346 -2.173 |     -6.904    -10.042      4.305    0.000 |
   30 |    21 -          g | 71 |    0    0   68   68 |  1  1 |   5.665      0.363 -2.073 |     -2.726     -4.966      2.101    0.000 |
   31 |    -3 -       sbar | 71 |    1    1   68   68 |  1  1 |  63.313      0.412 -2.075 |    -30.581    -55.438     26.847    0.500 |
   32 |     3 -          s | 71 |   22   22   37   37 |  1  1 |  49.895      1.153 -0.474 |     44.405    -22.753     71.188    0.500 |
   33 |    21 -          g | 71 |   22   22   37   37 |  1  1 |  93.457      1.134 -0.472 |     83.243    -42.484    130.125   -0.000 |
   34 |    21 -          g | 71 |   22   22   37   37 |  1  1 |  18.579      1.252 -0.409 |     17.046     -7.390     29.838    0.000 |
   35 |    21 -          g | 71 |   22   22   37   37 |  1  1 |  12.619      1.073 -0.313 |     12.005     -3.887     16.297    0.000 |
   36 |    -4 -       cbar | 71 |   23   23   37   37 |  1  1 |  15.022      0.114 -1.435 |      2.034    -14.884      1.709    1.500 |
   37 |  -421 -      Dbar0 |  2 |   32   36   -1   -1 |  6  0 |   8.269      0.111 -1.359 |      1.740     -8.084      0.917    1.865 |
   38 |     2 -          u | 71 |   15   15   72   72 |  1  1 |  33.956     -0.477  2.372 |    -24.391     23.625    -16.810    0.330 |
   39 |    21 -          g | 71 |   15   15   72   72 |  1  1 |  19.906     -0.573  2.371 |    -14.282     13.866    -12.040   -0.000 |
   40 |    21 -          g | 71 |   15   15   72   72 |  1  1 |  19.135     -0.539  2.382 |    -13.877     13.175    -10.821    0.000 |
   41 |    21 -          g | 71 |   15   15   72   72 |  1  1 |   6.846     -0.102  1.293 |      1.878      6.584     -0.697    0.000 |
   42 |    21 -          g | 71 |   15   15   72   72 |  1  1 |   8.080     -0.072  1.076 |      3.839      7.109     -0.582   -0.000 |
   43 |    21 -          g | 71 |   15   15   72   72 |  1  1 |   6.188     -0.478  0.703 |      4.721      4.002     -3.072    0.000 |
   44 |    21 -          g | 71 |   15   15   72   72 |  1  1 |   7.170     -0.314  0.836 |      4.809      5.318     -2.286    0.506 |
   45 |     1 -          d | 71 |    0    0   81   70 |  1  5 |   0.426      8.384 -1.903 |     -0.139     -0.403    932.136    0.330 |
   46 |    21 -          g | 71 |    0    0   81   70 |  1  5 |   7.783      0.738  1.122 |      3.375      7.013      6.280    0.000 |
   47 |    -3 -       sbar | 71 |    0    0   81   70 |  1  5 |   6.966      1.469 -2.592 |     -5.941     -3.637     14.339    0.500 |
   48 |  2212 -         p+ |  1 |   45   47   -1   -1 |  4  0 |   2.650      1.302  0.642 |      2.123      1.586      4.513    0.938 |
   49 |    21 -          g | 71 |   13   13   62   65 |  1  5 |  52.926     -0.043 -0.547 |     45.197    -27.539     -2.260   -0.000 |
   50 |    21 -          g | 71 |   13   13   62   65 |  1  5 |  55.594     -0.048 -0.471 |     49.550    -25.208     -2.665    0.000 |
   51 |    21 -          g | 71 |   13   13   62   65 |  1  5 |  21.636     -0.040 -0.434 |     19.626     -9.107     -0.865    0.000 |
   52 |    21 -          g | 71 |   13   13   62   65 |  1  5 |  12.660     -0.124 -0.402 |     11.649     -4.958     -1.578    0.000 |
   53 |    21 -          g | 71 |   13   13   62   65 |  1  5 |  14.837     -0.067 -0.575 |     12.455     -8.063     -0.995    0.000 |
   54 |    21 -          g | 71 |   13   13   62   65 |  1  5 |  33.903     -0.025 -0.546 |     28.977    -17.600     -0.832   -0.000 |
   55 |    21 -          g | 71 |   13   13   62   65 |  1  5 | 107.150     -0.068 -0.572 |     90.075    -58.030     -7.314    0.000 |
   56 |    21 -          g | 71 |   13   13   62   65 |  1  5 | 102.650     -0.041 -0.599 |     84.802    -57.842     -4.202    0.000 |
   57 |    21 -          g | 71 |   13   13   62   65 |  1  5 |  21.296     -0.076 -0.600 |     17.573    -12.029     -1.615    0.000 |
   58 |    21 -          g | 71 |   13   13   62   65 |  1  5 |  13.259     -0.043 -0.699 |     10.149     -8.533     -0.572   -0.000 |
   59 |    21 -          g | 71 |   20   20   62   65 |  1  5 |  11.679      1.784 -0.054 |     11.662     -0.630     33.788   -0.000 |
   60 |    21 -          g | 71 |   20   20   62   65 |  1  5 |  23.862      1.725 -0.046 |     23.837     -1.098     64.848    0.000 |
   61 |    -5 -       bbar | 71 |   20   20   62   65 |  1  5 |  46.420      1.741 -0.176 |     45.701     -8.139    128.230    4.800 |
   62 |   111 -        pi0 |  2 |   13   61   77   77 | 15  1 |  14.232     -0.026 -0.531 |     12.269     -7.212     -0.369    0.135 |
   63 |   221 -        eta |  2 |   13   61   78   78 | 15  1 |  26.972     -0.045 -0.488 |     23.821    -12.651     -1.211    0.548 |
   64 |   111 -        pi0 |  2 |   13   61   79   79 | 15  1 |  22.498     -0.041 -0.578 |     18.849    -12.284     -0.914    0.135 |
   65 |   523 -        B*+ |  2 |   13   61   80   80 | 15  1 |  51.041      1.742 -0.156 |     50.422     -7.929    141.183    5.325 |
   66 |     3 -          s | 71 |    1    1   73   73 |  1  1 |   9.684      0.402 -2.102 |     -4.903     -8.351      4.000    0.500 |
   67 |    21 -          g | 71 |    1    1   73   73 |  1  1 |  16.263      0.200 -2.322 |    -11.098    -11.887      3.283    0.000 |
   68 |   310 -       K_S0 |  1 |   27   31   -1   -1 |  6  0 |  20.082      0.355 -2.065 |     -9.524    -17.680      7.281    0.498 |
   69 |   310 -       K_S0 |  1 |   45   47   -1   -1 |  4  0 |   1.761      1.030  1.330 |      0.420      1.710      2.153    0.498 |
   70 |  2212 -         p+ |  1 |   45   47   -1   -1 |  4  0 |   0.382      2.604  2.910 |     -0.372      0.088      2.567    0.938 |
   71 |  2212 -         p+ |  1 |   13   61   -1   -1 | 15  0 |   1.681      1.948  0.261 |      1.624      0.434      5.775    0.938 |
   72 |   310 -       K_S0 |  1 |   38   13   -1   -1 |  9  0 |   1.389     -0.579  2.599 |     -1.189      0.717     -0.850    0.498 |
   73 |   310 -       K_S0 |  1 |   66   67   -1   -1 |  3  0 |   4.338      0.322 -2.042 |     -1.971     -3.864      1.421    0.498 |
   74 |   -14 -   nu_mubar |  1 |   26   26   -1   -1 |  1  0 |  53.848     -0.329  2.567 |    -45.199     29.269    -18.024    0.000 |
   75 |    13 -        mu- |  1 |   26   26   -1   -1 |  1  0 |  87.726     -0.338  2.545 |    -72.562     49.300    -30.180    0.106 |
   76 |   421 -         D0 |  2 |   26   26   84   84 |  1  1 |  32.075     -0.300  2.545 |    -26.539     18.013     -9.770    1.865 |
   77 |    22 -      gamma |  1 |   62   62   -1   -1 |  1  0 |  10.104     -0.028 -0.537 |      8.681     -5.170     -0.282   -0.000 |
   78 |    22 -      gamma |  1 |   63   63   -1   -1 |  1  0 |  22.503     -0.037 -0.484 |     19.920    -10.467     -0.832   -0.000 |
   79 |    22 -      gamma |  1 |   64   64   -1   -1 |  1  0 |  14.515     -0.041 -0.573 |     12.195     -7.871     -0.594    0.000 |
   80 |   521 -         B+ |  2 |   65   65   83   86 |  1  2 |  51.024      1.742 -0.156 |     50.407     -7.915    141.142    5.279 |
