30-Oct-2015 07:55:31 CDT  Initiating request to open file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root
30-Oct-2015 07:55:32 CDT  Successfully opened file file:/eos/uscms/store/user/skalafut/WR_2600_ToENu_1300_ToEEJJ_GENSIM/WRToENuToEEJJ_MW-2600_MNu-1300_13TeV_GEN-SIM/150519_203237/0000/WR_M-2600_ToENu_M-1300_13TeV_GEN_SIM_1.root
Begin processing the 1st record. Run 1, Event 1, LumiSection 1 at 30-Oct-2015 07:55:37.549 CDT

[ParticleListDrawer] analysing particle collection genParticles
 idx  |    ID -       Name |Stat|  Mo1  Mo2  Da1  Da2 |nMo nDa|    pt       eta     phi   |     px         py         pz        m     |
    0 |  2212 -         p+ |  4 |   -1   -1  191  255 |  0  6 |   0.000  29256.000  0.000 |      0.000      0.000   6500.000    0.938 |
    1 |  2212 -         p+ |  4 |   -1   -1  192  256 |  0  5 |   0.000 -29256.000  0.000 |      0.000      0.000  -6500.000    0.938 |
    2 |    -1 -       dbar | 21 |    5    5    4    4 |  1  1 |   0.000  23161.855  0.000 |      0.000      0.000    405.855    0.000 |
    3 |     2 -          u | 21 |    6    6    4    4 |  1  1 |   0.000 -26879.385  0.000 |      0.000      0.000  -4123.385    0.000 |
    4 | 9900024 -       W_R+ | 22 |    2    3    7    7 |  2  1 |   0.000 -26473.531  0.000 |      0.000      0.000  -3717.531 2587.274 |
    5 |    -1 -       dbar | 41 |    9    9    2    8 |  1  2 |   0.000  23261.945  0.000 |      0.000      0.000    505.945    0.000 |
    6 |     2 -          u | 42 |   10   10    3    3 |  1  1 |   0.000    -41.595  1.586 |     -0.000      0.000  -4123.381    0.000 |
    7 | 9900024 -       W_R+ | 44 |    4    4   11   11 |  1  1 |  53.601     -4.930  1.586 |     -0.833     53.595  -3709.401 2587.274 |
    8 |    21 -          g | 43 |    5    5   12   12 |  1  1 |  53.601      1.309 -1.555 |      0.833    -53.595     91.961    0.000 |
    9 |    21 -          g | 41 |   14   14    5   13 |  1  2 |   0.000     43.055  0.000 |      0.000      0.000    554.735   -0.000 |
   10 |     2 -          u | 42 |   15   15    6    6 |  1  1 |   0.000    -44.257  2.034 |     -0.000      0.000  -4123.387    0.000 |
   11 | 9900024 -       W_R+ | 44 |    7    7   16   16 |  1  1 |  50.220     -4.995  1.534 |      1.844     50.186  -3709.005 2587.274 |
   12 |    21 -          g | 44 |    8    8   17   17 |  1  1 |  54.446      1.293 -1.543 |      1.486    -54.426     91.735   -0.000 |
   13 |     1 -          d | 43 |    9    9   18   18 |  1  1 |   5.392      2.895  2.237 |     -3.331      4.240     48.621    0.330 |
   14 |    21 -          g | 42 |   22   22    9    9 |  1  1 |   0.000     36.521  0.894 |      0.000      0.000    554.735   -0.000 |
   15 |     2 -          u | 41 |   43   43   10   19 |  1  2 |   0.000    -38.531 -2.243 |     -0.000     -0.000  -4150.804    0.000 |
   16 | 9900024 -       W_R+ | 44 |   11   11   49   49 |  1  1 |  47.440     -5.053  1.578 |     -0.351     47.439  -3709.982 2587.274 |
   17 |    21 -          g | 44 |   12   12   20   21 |  1  2 |  54.451      1.293 -1.544 |      1.482    -54.431     91.730   -0.000 |
   18 |     1 -          d | 44 |   13   13   51   51 |  1  1 |   5.392      2.895  2.237 |     -3.331      4.240     48.610    0.330 |
   19 |    21 -          g | 43 |   15   15   33   33 |  1  1 |   3.523     -2.713  0.896 |      2.200      2.752    -26.429    0.000 |
   20 |    21 -          g | 51 |   17   17   31   32 |  1  2 |  12.538      1.574 -1.699 |     -1.599    -12.436     28.952   -0.000 |
   21 |    21 -          g | 51 |   17   17   53   53 |  1  1 |  42.108      1.227 -1.498 |      3.081    -41.995     65.638    0.000 |
   22 |    21 -          g | 53 |   47   47   14   14 |  1  1 |   0.000     35.833  0.894 |      0.000      0.000    557.595   -0.000 |
   23 |    21 -          g | 31 |   59   59   25   26 |  1  2 |   0.000  23243.828  0.000 |      0.000      0.000    487.828   -0.000 |
   24 |    21 -          g | 31 |   60   60   25   26 |  1  2 |   0.000 -22756.066  0.000 |      0.000      0.000     -0.066   -0.000 |
   25 |    21 -          g | 33 |   23   24   61   61 |  2  1 |   2.786      5.792 -0.762 |      2.016     -1.923    456.585    0.000 |
   26 |    21 -          g | 33 |   23   24   62   62 |  2  1 |   2.786      3.110  2.380 |     -2.016      1.923     31.176   -0.000 |
   27 |    21 -          g | 31 |  145  145   29   30 |  1  2 |   0.000  22932.051  0.000 |      0.000      0.000    176.051    0.000 |
